ID,ISP,Philippines,Service,Server ID,Server name,Download,Upload,Ping,Packet loss,Download jitter,Upload jitter,Ping jitter,Upload latency high,Upload latency low,Upload latency avg,Download latency high,Download latency low,Download latency avg,Created at
1,PLDT Fibre,Pasig,ookla,7123,PLDT,608826616,476670608,0.989,,0.81,5.673,0.253,209.56,1.602,4.363,15.672,1.157,1.725,18/06/2024 15:00
2,PLDT Fibre,Pasig,ookla,7123,PLDT,622675896,790559208,1.503,,3.856,1.67,0.169,17.137,1.425,3.357,213.056,1.06,2.012,18/06/2024 15:15
3,PLDT Fibre,Manila,ookla,7167,PLDT,605849712,613374624,0.983,,4.698,11.605,0.061,211.99,0.939,1.524,205.226,1.107,2.905,18/06/2024 15:30
4,PLDT Fibre,Quezon City,ookla,7131,PLDT,571097776,763694104,0.983,,3.516,0.79,0.04,11.569,1.085,1.719,202.819,0.736,1.284,18/06/2024 15:45
5,PLDT Fibre,Manila,ookla,7415,Smart Communications,612383960,652943784,1.446,0,0.851,40.351,0.058,530.795,3.095,55.503,25.15,1.244,2.358,18/06/2024 16:00
6,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",591969768,589567744,1.83,0,0.802,1.173,0.19,13.704,1.602,2.084,14.367,1.409,2.001,18/06/2024 16:15
7,PLDT Fibre,Manila,ookla,7415,Smart Communications,588835336,685927312,1.836,0,1.271,14.251,1.726,235.449,1.09,9.32,18.334,1.155,1.827,18/06/2024 16:30
8,PLDT Fibre,Pasig,ookla,7123,PLDT,543156176,596404352,1.116,,1.93,41.923,0.015,288.503,1.702,58.279,25.983,1.287,6.884,18/06/2024 16:45
9,PLDT Fibre,Manila,ookla,7167,PLDT,592128008,654466440,1.246,,9.494,20.726,0.179,268.681,1.009,12.039,212.91,1.046,1.998,18/06/2024 17:00
10,PLDT Fibre,Pasig,ookla,7123,PLDT,579672152,794029448,1.347,,3.689,21.597,0.094,224.639,1.277,8.909,202.744,1.162,2.521,18/06/2024 17:15
11,PLDT Fibre,Quezon City,ookla,7131,PLDT,584978320,685122208,1.606,,1.049,19.914,0.478,227.416,1.363,11.632,26.78,0.757,1.384,18/06/2024 17:30
12,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",577078072,584732288,1.868,0,0.472,10.05,0.346,471.579,2.007,25.817,6.937,1.358,1.75,18/06/2024 17:45
13,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",571755280,895330128,1.76,0,1.366,25.769,0.431,357.148,5.898,54.179,25.972,1.515,2.217,18/06/2024 18:00
14,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",610658792,839767776,1.755,0,1.592,3.483,0.242,44.681,1.702,21.902,19.329,1.523,2.353,18/06/2024 18:15
15,PLDT Fibre,Manila,ookla,7415,Smart Communications,623702648,904910168,1.577,0,2.375,3.636,0.299,23.51,1.626,7.444,205.255,1.234,1.781,18/06/2024 18:30
16,PLDT Fibre,Manila,ookla,7415,Smart Communications,571802888,818737160,1.882,0,6.973,13.361,0.572,455.079,2.871,22.662,215.589,1.182,2.971,18/06/2024 18:45
17,PLDT Fibre,Manila,ookla,7167,PLDT,575931336,494604432,1.441,,9.371,27.373,0.73,663.005,2.048,64.379,216.031,0.934,2.059,18/06/2024 19:00
18,PLDT Fibre,Pasig,ookla,7123,PLDT,598626488,825520648,1.353,,1.536,3.193,0.12,19.951,1.317,4.644,21.928,1.142,2.218,18/06/2024 19:15
19,PLDT Fibre,Pasig,ookla,7123,PLDT,588408536,618289392,1.452,,6.079,64.385,0.111,594.727,3.72,166.398,206.811,1.269,2.17,18/06/2024 19:30
20,PLDT Fibre,Quezon City,ookla,7131,PLDT,580934632,843129536,1.591,,4.565,2.535,0.501,27.758,1.939,13.085,206.868,0.94,2.048,18/06/2024 19:45
21,PLDT Fibre,Pasig,ookla,7123,PLDT,590553368,840266448,1.744,,5.897,5.131,0.511,211.678,1.34,2.239,220.64,1.228,2.393,18/06/2024 20:00
22,PLDT Fibre,Quezon City,ookla,7131,PLDT,596326352,833112488,0.955,,2.086,2.2,0.148,19.69,1.617,7.481,26.341,0.745,1.616,18/06/2024 20:15
23,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",596967400,863380680,1.849,0,1.977,10.387,0.529,237.964,4.312,13.639,22.58,1.405,3.189,18/06/2024 20:30
24,PLDT Fibre,Manila,ookla,7415,Smart Communications,601070344,564721408,1.442,0,1.32,25.671,0.237,587.483,1.446,24.304,38.408,1.298,2.054,18/06/2024 20:45
25,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",607820584,867549912,6.264,0,1.455,2.204,6.801,37.109,5.345,14.459,19.034,1.576,5.486,18/06/2024 21:00
26,PLDT Fibre,Manila,ookla,7167,PLDT,526532384,855015472,1.609,,4.096,3.826,1.226,32.012,2.08,13.004,204.788,1,2.689,18/06/2024 21:15
27,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",612919928,921577512,2.006,0,1.168,2.155,0.181,13.917,1.617,6.11,22.319,1.529,2.207,18/06/2024 21:30
28,PLDT Fibre,Quezon City,ookla,7131,PLDT,624697832,843384440,0.964,,0.559,10.057,0.172,54.524,4.809,34.351,30.876,0.76,1.165,18/06/2024 21:45
29,PLDT Fibre,Manila,ookla,7167,PLDT,608600616,729503544,1.356,,2.452,1.413,0.225,20.107,3.436,14.662,214.645,1.02,1.523,18/06/2024 22:00
33,PLDT Fibre,Manila,ookla,7167,PLDT,625631528,870513440,1.064,,2.194,42.854,0.238,252.564,3.544,135.384,220.391,0.979,1.539,19/06/2024 5:45
34,PLDT Fibre,Pasig,ookla,7123,PLDT,612940592,634039328,1.833,,6.567,11.08,0.847,81.999,1.452,10.961,210.816,1.166,2.745,19/06/2024 6:00
35,PLDT Fibre,Manila,ookla,7415,Smart Communications,626977656,600812600,1.358,0,0.545,53.923,0.147,640.16,1.656,107.599,31.414,1.203,1.745,19/06/2024 6:15
36,PLDT Fibre,Pasig,ookla,7123,PLDT,622789264,881914912,1.563,,5.786,6.341,0.219,30.181,1.531,7.419,208.008,1.195,1.702,19/06/2024 6:30
37,PLDT Fibre,Pasig,ookla,7123,PLDT,623552536,754857760,1.459,,2.542,5.236,0.203,209.978,1.235,1.857,226.463,1.164,1.728,19/06/2024 6:45
38,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613428896,653970992,1.781,0,0.751,70.901,0.193,411.629,7.471,183.852,30.929,1.375,1.971,19/06/2024 7:00
39,PLDT Fibre,Manila,ookla,7415,Smart Communications,616790184,662491888,1.437,0,0.604,76.694,0.157,432.091,3.032,168.441,16.586,1.375,1.89,19/06/2024 7:15
40,PLDT Fibre,Manila,ookla,7167,PLDT,615473416,711435176,1.517,,2.447,7.548,0.155,256.573,3.267,14.771,202.627,1.026,1.572,19/06/2024 7:30
41,PLDT Fibre,Manila,ookla,7415,Smart Communications,623328784,717799224,1.577,0,0.408,45.357,0.185,247.173,2.709,96.078,15.516,1.253,1.74,19/06/2024 7:45
42,PLDT Fibre,Manila,ookla,7167,PLDT,627184568,854172904,1.148,,7.489,12.592,0.175,250.913,1.561,14.705,219.294,0.956,1.552,19/06/2024 8:00
43,PLDT Fibre,Quezon City,ookla,7131,PLDT,624747728,913248256,0.993,,0.278,6.381,0.122,52.148,0.932,7.299,6.006,0.788,1.178,19/06/2024 8:15
44,PLDT Fibre,Quezon City,ookla,7131,PLDT,624790792,845682896,0.951,,0.931,3.352,0.15,67.677,1.589,5.476,61.045,0.789,1.399,19/06/2024 8:30
45,PLDT Fibre,Manila,ookla,7415,Smart Communications,619191424,637283840,1.492,0,0.505,10.766,0.151,64.378,3.029,35.568,22.683,1.226,1.817,19/06/2024 8:45
46,PLDT Fibre,Pasig,ookla,7123,PLDT,622511416,793225784,1.474,,0.499,3.742,0.199,24.314,3.68,13.187,14.945,1.19,1.693,19/06/2024 9:00
47,PLDT Fibre,Quezon City,ookla,7131,PLDT,626636768,831853440,1.005,,0.429,1.011,0.056,10.036,0.818,1.634,17.786,0.935,1.368,19/06/2024 9:15
48,PLDT Fibre,Manila,ookla,7415,Smart Communications,618541400,591438560,1.497,0,0.548,21.542,0.217,209.846,1.758,18.781,14.909,1.317,1.775,19/06/2024 9:30
49,PLDT Fibre,Quezon City,ookla,7131,PLDT,613162056,841664952,0.965,,4.206,5.39,0.124,20.995,1.499,5.857,230.13,0.827,1.311,19/06/2024 9:45
50,PLDT Fibre,Manila,ookla,7415,Smart Communications,612688864,847393352,1.49,0,3.575,47.162,0.228,474.547,4.464,164.784,208.558,1.152,1.969,19/06/2024 10:00
51,PLDT Fibre,Quezon City,ookla,7131,PLDT,625528360,856353296,0.988,,0.49,1.809,0.073,10.153,1.064,2.143,23.712,0.737,1.201,19/06/2024 10:15
52,PLDT Fibre,Manila,ookla,7415,Smart Communications,613258544,637205928,1.531,0,0.334,75.308,0.112,904.784,3.122,233.02,3.881,1.193,1.688,19/06/2024 10:30
53,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",619535424,935965048,1.768,0,0.531,1.187,0.318,32.297,1.606,2.273,22.483,1.408,1.908,19/06/2024 10:45
54,PLDT Fibre,Manila,ookla,7167,PLDT,612770512,613401168,1.079,,0.732,14.294,0.313,417.061,1.011,1.971,19.77,0.984,1.76,19/06/2024 11:00
55,PLDT Fibre,Manila,ookla,7415,Smart Communications,614046536,827460432,1.505,0,0.482,4.175,0.13,22.88,2.183,18.543,9.578,1.227,1.768,19/06/2024 11:15
56,PLDT Fibre,Manila,ookla,7167,PLDT,612276088,872684416,0.996,,0.498,5.417,0.109,30.516,1.153,13.355,16.912,1.017,1.502,19/06/2024 11:30
57,PLDT Fibre,Pasig,ookla,7123,PLDT,626029624,772243016,1.478,,2.662,0.763,0.137,13.869,4.466,10.765,236.545,1.176,1.627,19/06/2024 11:45
58,PLDT Fibre,Manila,ookla,7415,Smart Communications,622943120,794959864,1.443,0,2.524,2.752,0.069,20.425,1.596,9.645,207.592,1.215,2.087,19/06/2024 12:00
59,PLDT Fibre,Pasig,ookla,7123,PLDT,613015824,820213376,1.439,,4.476,47.14,0.156,662.621,3.876,131.182,204.957,1.083,1.649,19/06/2024 12:15
60,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613320456,659240664,1.658,0,0.418,8.123,0.168,45.804,1.684,38.388,18.351,1.499,1.969,19/06/2024 12:30
61,PLDT Fibre,Manila,ookla,7415,Smart Communications,612781352,914070648,1.424,0,0.469,0.853,0.268,6.769,1.24,1.839,15.299,1.197,1.705,19/06/2024 12:45
62,PLDT Fibre,Pasig,ookla,7123,PLDT,624480608,866953448,1.567,,2.235,1.559,0.167,8.961,1.476,2.874,203.059,1.114,1.651,19/06/2024 13:00
63,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613150472,602933472,1.687,0,0.407,28.974,0.339,304.312,1.815,32.786,16.007,1.439,1.919,19/06/2024 13:15
64,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613052640,920845320,1.826,0,3.142,2.336,0.211,23.03,1.649,10.248,216.828,1.48,1.917,19/06/2024 13:30
65,PLDT Fibre,Manila,ookla,7167,PLDT,613600856,847560992,0.991,,2.48,3.849,0.057,38.646,3.879,13.56,212.774,1.043,1.503,19/06/2024 13:45
66,PLDT Fibre,Manila,ookla,7167,PLDT,602477040,805740400,1.35,,3.83,2.533,0.331,37.345,2.402,12.181,202.847,1.036,1.873,19/06/2024 14:00
67,PLDT Fibre,Manila,ookla,7167,PLDT,626260992,918212680,1.176,,0.57,0.889,0.156,14.071,1.158,1.882,37.203,1.101,1.505,19/06/2024 14:15
68,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",424996168,565352688,1.479,0,0.792,86.649,0.222,1193.801,7.822,578.185,14.731,1.399,1.841,19/06/2024 14:30
